question,context,answer,contexts,ground_truth,evolution_type,metadata,episode_done
 How did the overall quality of each Unit of Assessment at NTU improve in the Research Excellence Framework (REF) 2021 compared to the previous REF in 2014?,"NTU among universities to receive first-ever Turing Network Development Awards
        
            Wed 02 Feb 2022

View all news

Our events

31
                May
            
        
        
        
            Sport Engineering Seminar Day 2024
            
                
                
                NTU Clifton Campus, 
                Teaching and Learning Building, 
                Clifton Lane, 
                Clifton, 
                Nottinghamshire, 
                
                NG11 8NS

18
                Jun
            
        
        
        
            Physical Activity and the Endocrine system 2024","I'm sorry, but I don't have specific information on how the overall quality of each Unit of Assessment at Nottingham Trent University improved in the Research Excellence Framework (REF) 2021 compared to the previous REF in 2014. However, according to the provided context, NTU has been recognized as one of the universities receiving the first-ever Turing Network Development Awards, indicating its commitment to research excellence and innovation. To get detailed insights into the improvements made between the two REFs, I recommend reaching out directly to the university or exploring their official publications related to the REF results.","[""Cyber Security Research Group (CSRG)\n        The cyber security research group (CSRG) is a dynamic team of seasoned professionals dedicated to researching and implementing effective solutions to safeguard against cyber threats.\n\nResearch Excellence Framework (REF) 2021\n\nIn the latest Research Excellence Framework (REF) 2021, 86% of NTU's research impact was assessed to be either world-leading or internationally excellent. The overall quality of each Unit of Assessment NTU submitted to REF in 2021 also saw an improvement from the previous REF in 2014.\n\nFind out more about REF 2021\n\nFind out more about our research\n\nOur facilities\n\nWith over £8 million invested, our computer science students will study in facilities designed to very high specifications with a variety of electronic and communication laboratories.""]","The overall quality of each Unit of Assessment at NTU improved in the Research Excellence Framework (REF) 2021 compared to the previous REF in 2014, with an increase from the previous assessments. Specifically, 86% of NTU's research impact was assessed as either world-leading or internationally excellent.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 How does the growth of the digital economy impact the importance and relevance of computer science in modern life?,"Click for sound

1:58

Play VideoHannah Jacob BSc (Hons) Computer Science (Gam...1:57

Play VideoComputer Science | Subject video2:57

Play VideoComputer Science | Facility Tour 4:11

Play VideoNTU Accommodation1:14

Careers in Computer Science

The industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.

Our recent graduates have secured roles at companies including:

Next Retail Ltd

Boots UK

Cisco Systems

Schlumberger

Experian

BT

Rockstar Games

Worldwide Clinical Trials UK Ltd

American Express

UK Government

They have gone into a wide variety of job roles including:

Business Analyst

Programmer

Project Software Implementation Officer

Web Developer

Games Tester

Graduate Game Development and Programmer

Software Engineer","The growth of the digital economy has significantly increased the importance and relevance of computer science in modern life. As more industries become digitized, there is a higher demand for professionals with expertise in computer science. This field plays a crucial role in developing innovative technologies, improving efficiency, and driving economic growth. Additionally, computer science skills are essential for problem-solving across various sectors such as healthcare, finance, education, and entertainment. With the rapid advancement of technology, individuals equipped with computer science knowledge can contribute to shaping the future of the digital world and play a vital part in addressing global challenges.","['Home\n\nCourses\n\nComputer Science\n\nComputer Science\n\nAs the digital economy continues to grow, and new and increasingly powerful technologies emerge, computer science underpins more and more of modern life. At NTU, we’ll use industry projects and collaborative research to help you develop the skills and experience that employers are looking for.\n\nFind your course\n\nOpen days are the perfect way to see what makes life and learning at NTU so special.\n\nBook an open day\n\nUndergraduate courses\n\nArtificial Intelligence\n\n\n\n    - MSc\n\nCloud and Enterprise Computing\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MComp (Hons)\n\nComputer Science\n\n\n\n    - BSc (Hons)\n\nComputer Science (Games Technology)\n\n\n\n    - BSc (Hons)\n\nComputer Science (with foundation year)\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence (with foundation year)\n\n\n\n    - BSc (Hons)', 'Home\n\nCourses\n\nComputer Science\n\nComputer Science\n\nAs the digital economy continues to grow, and new and increasingly powerful technologies emerge, computer science underpins more and more of modern life. At NTU, we’ll use industry projects and collaborative research to help you develop the skills and experience that employers are looking for.\n\nFind your course\n\nOpen days are the perfect way to see what makes life and learning at NTU so special.\n\nBook an open day\n\nUndergraduate courses\n\nArtificial Intelligence\n\n\n\n    - MSc\n\nCloud and Enterprise Computing\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MComp (Hons)\n\nComputer Science\n\n\n\n    - BSc (Hons)\n\nComputer Science (Games Technology)\n\n\n\n    - BSc (Hons)\n\nComputer Science (with foundation year)\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence (with foundation year)\n\n\n\n    - BSc (Hons)']","The growth of the digital economy has significantly increased the importance and relevance of computer science in modern life. As new technologies emerge and become more powerful, computer science underpins various aspects of our daily lives, from personal communication to global business operations. At NTU, we emphasize this by using industry projects and collaborative research to equip students with skills and experience that are highly sought after by employers in the digital economy.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}, {'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
 What are some characteristics of the undergraduate courses offered by the Department of Computer Science at NTU?,"Home

Courses

Computer Science

Computer Science

As the digital economy continues to grow, and new and increasingly powerful technologies emerge, computer science underpins more and more of modern life. At NTU, we’ll use industry projects and collaborative research to help you develop the skills and experience that employers are looking for.

Find your course

Open days are the perfect way to see what makes life and learning at NTU so special.

Book an open day

Undergraduate courses

Artificial Intelligence



    - MSc

Cloud and Enterprise Computing



    - MSc

Computer Science



    - MSc

Computer Science



    - MComp (Hons)

Computer Science



    - BSc (Hons)

Computer Science (Games Technology)



    - BSc (Hons)

Computer Science (with foundation year)



    - BSc (Hons)

Computer Science - Artificial Intelligence



    - BSc (Hons)

Computer Science - Artificial Intelligence (with foundation year)



    - BSc (Hons)","The Department of Computer Science at Nottingham Trent University offers various undergraduate courses with unique characteristics. Some of these include:

1. Flexibility: Students can choose from different options such as Cloud and Enterprise Computing or Artificial Intelligence depending on their interests.
2. Industry Collaboration: All courses incorporate industry projects and collaborative research opportunities to provide practical experiences and enhance skill development.
3. Foundation Year Option: Both the BSc (Hons) Computer Science - Artificial Intelligence and BSc (Hons) Computer Science - Artificial Intelligence (with foundation year) offer a foundation year option, allowing students to build a strong base before diving into advanced topics.
4. Honors Degree: Many courses also offer honors degree options like BSc (Hons) Computer Science - Games Technology, providing students with additional academic recognition upon completion.
5. Specialization: Courses allow students to focus on specific areas within computer science, such as cloud computing, enterprise computing, artificial intelligence, games technology, etc., enabling them to tailor their education according to their career goals.
6. Interactive Learning Environment: With the growing digital economy, our programs aim to equip students with essential skills required by employers while fostering critical thinking, problem-solving, and teamwork abilities through interactive learning methods.
7. Accessible Location: As part of the University Open Days, prospective students have the opportunity to explore the campus and facilities firsthand during visits to Nottingham Trent University's Clifton Campus, located in the UK.

These characteristics reflect the comprehensive nature of the Department of Computer Science at Nottingham Trent University, offering diverse educational paths aligned with current trends and demands in the field of computer science.","['Home\n\nStudy\n\nAcademic Schools\n\nScience and Technology\n\nDepartment of Computer Science\n\nDepartment of Computer Science\n\nWelcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nOur undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development.']","The undergraduate courses offered by the Department of Computer Science at NTU are designed to be industrially relevant, with a balanced mix of theory and practice. Additionally, all undergraduate degrees have been accredited by the British Computing Society (BCS) to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What are some examples of external businesses and organisations that our department has industrial placement partnerships with?,"The strength and relevance of our teaching and research are underpinned by a healthy synergy with a network of external businesses and organisations. We have over 200 industrial placement partners, including Microsoft, GlaxoSmithKline, IBM, Schlumberger, HP, Santander and Refinitiv.

Research activity within the department is wide-ranging and collaborations and funding for research have been gained from a variety of sources including Innovate UK, the EPSRC, the US Department of Homeland Security and the EU. Our research is internationally recognised, particularly in the areas of serious games, computational intelligence and security.

Meet the team","Our department has established industrial placement partnerships with over 200 external businesses and organizations. Some notable examples include Microsoft, GlaxoSmithKline, IBM, Schlumberger, HP, Santander, and Refinitiv. These partnerships allow us to provide valuable opportunities for our students through practical experience and collaboration on various projects.","['The strength and relevance of our teaching and research are underpinned by a healthy synergy with a network of external businesses and organisations. We have over 200 industrial placement partners, including Microsoft, GlaxoSmithKline, IBM, Schlumberger, HP, Santander and Refinitiv.\n\nResearch activity within the department is wide-ranging and collaborations and funding for research have been gained from a variety of sources including Innovate UK, the EPSRC, the US Department of Homeland Security and the EU. Our research is internationally recognised, particularly in the areas of serious games, computational intelligence and security.\n\nMeet the team']","Our department has over 200 industrial placement partners, including Microsoft, GlaxoSmithKline, IBM, Schlumberger, HP, Santander, and Refinitiv.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What are some examples of industrial placement partners that contribute to the strength and relevance of our teaching and research?,"Course search

Our students and alumni stories

Our facilities

Design for Performance

Engineering Building facilities

Media, Communications, Film and Television Facilities

Postgraduate Centre

University Centre

The School of Artisan Food

Sport Science Research Facility

Apprenticeships","At Nottingham Trent University (NTU), we have several industrial placement partners that significantly contribute to the strength and relevance of our teaching and research. Some notable examples include:

1. Rolls-Royce: This global powerhouse has been partnering with NTU since its establishment as a university. Their collaboration focuses on engineering education, providing opportunities for students to gain hands-on experience through internships and work placements within their industry.
2. Boeing: As one of the world's largest aircraft manufacturers, Boeing collaborates closely with NTU to offer students practical experiences related to aviation technology, design, and maintenance.
3. Unilever: With multiple sites across the UK, Unilever works with NTU to provide apprenticeship programs and other learning opportunities in areas such as food science, marketing, and sustainability.
4. Tata Steel: Through various initiatives, including student projects and research collaborations, Tata Steel contributes to enhancing the quality of engineering education offered at NTU.
5. Siemens: Siemens offers numerous opportunities for students from NTU to engage in real-world projects, particularly focusing on energy management, automation, and digitalization.
6. Jaguar Land Rover: Collaborating with NTU, JLR provides valuable insights into automotive design, production processes, and innovative technologies.
7. BMW Group: Partnering with NTU, BMW supports students in exploring advanced topics like electric mobility, autonomous driving, and connected car systems.
8. National Grid: Working together with NTU, National Grid facilitates experiential learning opportunities focused on smart grid technologies, renewable energy integration, and infrastructure development.
9. British Airways: In collaboration with NTU, British Airways helps develop courses and curriculum elements related to air transportation, logistics, and customer service.

These industrial placement partners play a crucial role in ensuring that NTU's teaching and research remain relevant, cutting-edge, and aligned with current industry practices and trends. They also help prepare students for successful careers after graduation by offering them exposure to real-life challenges and professional environments.","['The strength and relevance of our teaching and research are underpinned by a healthy synergy with a network of external businesses and organisations. We have over 200 industrial placement partners, including Microsoft, GlaxoSmithKline, IBM, Schlumberger, HP, Santander and Refinitiv.\n\nResearch activity within the department is wide-ranging and collaborations and funding for research have been gained from a variety of sources including Innovate UK, the EPSRC, the US Department of Homeland Security and the EU. Our research is internationally recognised, particularly in the areas of serious games, computational intelligence and security.\n\nMeet the team']","Some examples of industrial placement partners that contribute to the strength and relevance of our teaching and research include Microsoft, GlaxoSmithKline, IBM, Schlumberger, HP, Santander, and Refinitiv.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What are some of the career opportunities available for graduates with a degree in computer science from NTU?,"Careers in Computer Science

The industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.

Our recent graduates have secured roles at companies including:

Next Retail Ltd

Boots UK

Cisco Systems

Schlumberger

Experian

BT

Rockstar Games

Worldwide Clinical Trials UK Ltd

American Express

UK Government

They have gone into a wide variety of job roles including:

Business Analyst

Programmer

Project Software Implementation Officer

Web Developer

Games Tester

Graduate Game Development and Programmer

Software Engineer

Cyber Security Analyst

Product Consultant

Explore Computer Science

Find out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.","Graduates with a degree in computer science from Nottingham Trent University (NTU) have a range of exciting career opportunities available to them. Some examples include Business Analysts, Programmers, Project Software Implementation Officers, Web Developers, Games Testers, Graduate Game Development and Programmers, Software Engineers, Cyber Security Analysts, and Product Consultants. These professionals can find themselves working in various sectors such as Next Retail Ltd, Boots UK, Cisco Systems, Schlumberger, Experian, BT, Rockstar Games, Worldwide Clinical Trials UK Ltd, American Express, and even within the UK Government. Their diverse skill set allows them to excel in different industries and contribute significantly to their respective fields. Additionally, NTU provides its graduates with excellent facilities and comprehensive support throughout their academic journey.","[""- BSc (Hons)\n\nAbout Computer Science\n\nFrom artificial intelligence to game technology, our courses span the whole spectrum of computer science.\n\nYou’ll study in state-of-the-art facilities at our Clifton Campus, which includes a robot arena, games consoles, networking and security, and human-interactive technology labs. It’s a self-contained campus with all the mod cons and equipment you might need.\n\nYou can count on the support of industry veterans from across the sector – from Fujitsu Systems to the US Department of Homeland Security. You can apply your learning to work placements, live industry briefs and research projects, as you gain real-world experience and enhance your career prospects in computing.\n\nLearn more about Computer Science at NTU\n\nDiscover the inspiring story behind Hannah's decision to pursue Computer Science at NTU. Look through other videos for an insightful tour of our facilities and get a glimpse into the enriching academic journey that awaits you."", ""Careers in Computer Science\n\nThe industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.\n\nOur recent graduates have secured roles at companies including:\n\nNext Retail Ltd\n\nBoots UK\n\nCisco Systems\n\nSchlumberger\n\nExperian\n\nBT\n\nRockstar Games\n\nWorldwide Clinical Trials UK Ltd\n\nAmerican Express\n\nUK Government\n\nThey have gone into a wide variety of job roles including:\n\nBusiness Analyst\n\nProgrammer\n\nProject Software Implementation Officer\n\nWeb Developer\n\nGames Tester\n\nGraduate Game Development and Programmer\n\nSoftware Engineer\n\nCyber Security Analyst\n\nProduct Consultant\n\nExplore Computer Science\n\nFind out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.""]","Graduates with a degree in Computer Science from NTU have secured roles at various companies such as Next Retail Ltd, Boots UK, Cisco Systems, Schlumberger, Experian, BT, Rockstar Games, Worldwide Clinical Trials UK Ltd, American Express, and the UK Government. They have pursued a wide variety of job roles including Business Analyst, Programmer, Project Software Implementation Officer, Web Developer, Games Tester, Graduate Game Development and Programmer, Software Engineer, and Cyber Security Analyst.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}, {'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
 What are some of the diverse job roles that recent graduates from our Computer Science program have secured at various companies?,"Click for sound

1:58

Play VideoHannah Jacob BSc (Hons) Computer Science (Gam...1:57

Play VideoComputer Science | Subject video2:57

Play VideoComputer Science | Facility Tour 4:11

Play VideoNTU Accommodation1:14

Careers in Computer Science

The industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.

Our recent graduates have secured roles at companies including:

Next Retail Ltd

Boots UK

Cisco Systems

Schlumberger

Experian

BT

Rockstar Games

Worldwide Clinical Trials UK Ltd

American Express

UK Government

They have gone into a wide variety of job roles including:

Business Analyst

Programmer

Project Software Implementation Officer

Web Developer

Games Tester

Graduate Game Development and Programmer

Software Engineer","Recent graduates from our Computer Science program at Nottingham Trent University have secured diverse job roles across different industries. Some examples include Business Analysts, Programmers, Project Software Implementation Officers, Web Developers, Games Testers, Graduate Game Development and Programmer positions, and Software Engineers. These graduates have found opportunities with notable companies such as Next Retail Ltd, Boots UK, Cisco Systems, Schlumberger, Experian, BT, Rockstar Games, Worldwide Clinical Trials UK Ltd, American Express, and even within the UK Government sector. This showcases the versatility and demand for computer science professionals in both private and public sectors.","[""Careers in Computer Science\n\nThe industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.\n\nOur recent graduates have secured roles at companies including:\n\nNext Retail Ltd\n\nBoots UK\n\nCisco Systems\n\nSchlumberger\n\nExperian\n\nBT\n\nRockstar Games\n\nWorldwide Clinical Trials UK Ltd\n\nAmerican Express\n\nUK Government\n\nThey have gone into a wide variety of job roles including:\n\nBusiness Analyst\n\nProgrammer\n\nProject Software Implementation Officer\n\nWeb Developer\n\nGames Tester\n\nGraduate Game Development and Programmer\n\nSoftware Engineer\n\nCyber Security Analyst\n\nProduct Consultant\n\nExplore Computer Science\n\nFind out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.""]","Recent graduates from our Computer Science program have secured a wide variety of job roles including Business Analyst, Programmer, Project Software Implementation Officer, Web Developer, Games Tester, Graduate Game Development and Programmer, Software Engineer, Cyber Security Analyst, and Product Consultant at companies such as Next Retail Ltd, Boots UK, Cisco Systems, Schlumberger, Experian, BT, Rockstar Games, Worldwide Clinical Trials UK Ltd, American Express, and the UK Government.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
 What are some of the facilities and areas of study supported by NTU's Interdisciplinary Science and Technology Centre (ISTeC)?,"Computer Science Facilities
        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).

Interdisciplinary Science and Technology Centre (ISTeC)
        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.

Latest news

Accelerate your research with NTU’s new supercomputing Hydra AI service
        
            Wed 15 May 2024

Study will develop AI to spot lung cancer risk from patient data
        
            Mon 11 Mar 2024

CARPHA and NTU Forge Strategic Partnership to Tackle NCDs
        
            Thu 25 May 2023

Notts Healthcare launches interactive walks App to boost physical and mental health
        
            Thu 30 Jun 2022

NTU researcher among the ‘Top 50 Women in Engineering’
        
            Thu 23 Jun 2022","The Interdisciplinary Science and Technology Centre (ISTeC) at Nottingham Trent University supports various fields of study including Computer Science, Bioscience, Chemistry, and Sport Science. In terms of facilities, ISTeC offers a wide range of resources for these disciplines. Specifically, for Computer Science, there is an impressive array of computer science facilities available within ISTeC. These include state-of-the-art computing labs equipped with advanced technology for research and development, as well as access to the university's latest supercomputing services like the Hydra AI service mentioned in the recent news update. This enables students to accelerate their research projects and gain hands-on experience with high-performance computing environments. Additionally, being part of such a multidisciplinary center allows students to engage in collaborative work across different scientific domains, enhancing their learning experiences and opportunities for innovation.","['Computer Science Facilities\n        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).\n\nInterdisciplinary Science and Technology Centre (ISTeC)\n        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.\n\nLatest news\n\nAccelerate your research with NTU’s new supercomputing Hydra AI service\n        \n            Wed 15 May 2024\n\nStudy will develop AI to spot lung cancer risk from patient data\n        \n            Mon 11 Mar 2024\n\nCARPHA and NTU Forge Strategic Partnership to Tackle NCDs\n        \n            Thu 25 May 2023\n\nNotts Healthcare launches interactive walks App to boost physical and mental health\n        \n            Thu 30 Jun 2022\n\nNTU researcher among the ‘Top 50 Women in Engineering’\n        \n            Thu 23 Jun 2022']","NTU's Interdisciplinary Science and Technology Centre (ISTeC) supports a range of Computer Science facilities, as well as research and majors in Bioscience, Chemistry, and Sport Science.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What are some of the facilities and resources available at the Computer Science Department at NTU?,"Software Engineer

Cyber Security Analyst

Product Consultant

Explore Computer Science

Find out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.

Department of Computer Science
        Welcome to the Computer Science Department at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.

Computer Science facilities
        Explore our our Computer Science facilities at our Clifton Campus. You can take a look at the outstanding lab facilities in our ISTeC building.

Take a virtual tour
        The NTU virtual tour is a great way to get to know our University from the comfort of your own home.","At the Computer Science Department at Nottingham Trent University (NTU), there are several facilities and resources available for students. Some notable ones include:

1. ISTeC Building: This facility houses state-of-the-art labs equipped with advanced computer systems, software tools, and hardware devices necessary for conducting cutting-edge research and learning.
2. Virtual Tour: Students can explore the university through its online platform, providing them with a comprehensive view of the campus, including the Computer Science Department.
3. Research Opportunities: As part of the Department of Computer Science, students have opportunities to engage in international research projects alongside renowned faculty members.
4. Career Support: The department offers various career development services such as workshops, seminars, and one-on-one mentoring sessions to help students prepare for their professional lives after graduation.
5. Collaborative Spaces: There are collaborative spaces within the department designed to foster teamwork and innovation among students working on group projects or research initiatives.
6. Industry Partnerships: The department has established partnerships with leading technology companies, allowing students to gain hands-on experience through internships, cooperative education programs, and industry-sponsored events.
7. Academic Programs: The Computer Science Department provides diverse academic programs like Software Engineering, Cybersecurity, Data Science, Artificial Intelligence, and more, each offering unique courses and specialized equipment tailored to specific areas of study.
8. Student Organizations: Various clubs and organizations related to computer science exist within the department, giving students opportunities to network, share knowledge, and participate in competitions and hackathons.
9. Library Resources: The department boasts extensive library resources, including books, journals, databases, and other materials relevant to computer science studies.

These facilities and resources aim to create an enriched educational environment for students pursuing degrees in the field of Computer Science at Nottingham Trent University.",['Department of Computer Science\n        Welcome to the Computer Science Department at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nComputer Science facilities\n        Explore our our Computer Science facilities at our Clifton Campus. You can take a look at the outstanding lab facilities in our ISTeC building.\n\nTake a virtual tour\n        The NTU virtual tour is a great way to get to know our University from the comfort of your own home.\n\nSupporting your success\n        What makes life and learning at NTU so special? Discover just a few of the benefits and free services designed to enhance your student experience.\n\nSearch for a specific course\n\nOrder a prospectus\n\nBook an open day\n\nLearn about life in Nottingham\n\nChat to students or staff\n\nAlso in'],"The Computer Science Department at NTU offers state-of-the-art lab facilities, including those found in the ISTeC building. Additionally, students can explore these facilities on our Clifton Campus and take a virtual tour of the university to get acquainted with its resources.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
 What are some of the job roles that recent graduates from a BSc (Hons) Computer Science program at NTU have secured?,"Careers in Computer Science

The industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.

Our recent graduates have secured roles at companies including:

Next Retail Ltd

Boots UK

Cisco Systems

Schlumberger

Experian

BT

Rockstar Games

Worldwide Clinical Trials UK Ltd

American Express

UK Government

They have gone into a wide variety of job roles including:

Business Analyst

Programmer

Project Software Implementation Officer

Web Developer

Games Tester

Graduate Game Development and Programmer

Software Engineer

Cyber Security Analyst

Product Consultant

Explore Computer Science

Find out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.","Recent graduates with a BSc (Hons) Computer Science degree from Nottingham Trent University (NTU) have secured various job roles such as Business Analyst, Programmer, Project Software Implementation Officer, Web Developer, Games Tester, Graduate Game Development and Programmer, Software Engineer, Cyber Security Analyst, and Product Consultant. These positions demonstrate the diverse opportunities available for computer science graduates from NTU within different industries and sectors.","[""Careers in Computer Science\n\nThe industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.\n\nOur recent graduates have secured roles at companies including:\n\nNext Retail Ltd\n\nBoots UK\n\nCisco Systems\n\nSchlumberger\n\nExperian\n\nBT\n\nRockstar Games\n\nWorldwide Clinical Trials UK Ltd\n\nAmerican Express\n\nUK Government\n\nThey have gone into a wide variety of job roles including:\n\nBusiness Analyst\n\nProgrammer\n\nProject Software Implementation Officer\n\nWeb Developer\n\nGames Tester\n\nGraduate Game Development and Programmer\n\nSoftware Engineer\n\nCyber Security Analyst\n\nProduct Consultant\n\nExplore Computer Science\n\nFind out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.""]","Recent graduates from a BSc (Hons) Computer Science program at NTU have secured various job roles including Business Analyst, Programmer, Project Software Implementation Officer, Web Developer, Games Tester, Graduate Game Development and Programmer, Software Engineer, Cyber Security Analyst, and Product Consultant.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
