question,Retrieval_Time,Chain_Time,Fusion_contexts,answer,RAGAS_Contexts,ground_truth,evolution_type,metadata,episode_done,contexts_bertscore_similarity
 What are the academic qualifications and foundational requirements for a career in software engineering?,0.0583767890930175,3.195391893386841,team support liaise academic schools services outside agencies help coordinate additional requirements may study software engineering bsc learn core skills concerning production computer programs applications well specialist knowledge areas software engineering analysis design courses within computer science cluster share accept qualifications countries would like discuss qualifications achieved country outside united kingdom please refer admissions team help open day member staff able help find designed enable develop knowledge skills necessary specifically career industry sectors undertaking design intelligent computer systems emerging smart technologies generally broad range careers industrial commercial," To pursue a career in Software Engineering, typically, you would need a degree in Computer Science or a related field such as Software Engineering, Information Technology, or Mathematics. At Nottingham Trent University, our Software Engineering BSc course is designed to equip you with the necessary knowledge and skills for a career in this field.  However, specific academic qualifications can vary depending on the institution and the country. If you have qualifications from a country outside of the UK, I would recommend speaking with our admissions team during the open day. They will be able to provide guidance based on your individual circumstances.",bsc hons mathematics data science bsc hons mathematics data science foundation year bsc hons software engineering bsc hons software engineering foundation year bsc hons,"The academic qualifications required for a career in software engineering include a Bachelor of Science (Honours) in Software Engineering, which can be obtained with or without completing a foundation year. Additionally, having a background in Mathematics and Data Science could also be beneficial due to their relevance in the field.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.4327690303325653
Which BSc (Hons) program merges math/data science & software dev?,0.0116195678710937,2.407203197479248,study computer science games technology foundation year bsc hons acquire advanced skills knowledge needed design implement various computer systems youll mainly software engineering using c also learn program using python java c within computer science games technology bsc hons build foundation core computer science software engineering skills first year assume prior knowledge computer programming accept students wide range academic backgrounds provide problemsolving skills mathematics data science bsc hons course shares common modules first year transfer mmath hons mathematics bsc hons mathematics bsc hons mathematics statistics data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside," The BSc (Hons) program that merges Math/Data Science and Software Development is the Data Science (with foundation year) BSc (Hons). This program includes a foundation year where you will focus on programming, science, and maths, preparing you to move onto BSc (Hons) Data Science in your second year. Throughout the program, you will work on individual and group projects that combine both data science and software development skills.",bsc hons mathematics data science bsc hons mathematics data science foundation year bsc hons software engineering bsc hons software engineering foundation year bsc hons,"The BSc (Hons) in Mathematics with Data Science and the BSc (Hons) in Software Engineering are both programs that merge mathematics, data science, and software development.",reasoning,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.6564590334892273
 What are the key components and objectives of a secure vehicular communication system in mitigating remote vehicle hijacking risks?,0.0134627819061279,4.651132822036743,drive confidence safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approach working groups including vehicular communication ev charging management cyber security charging infrastructure data analytics cyber risk prediction focus developing secure visible light communication framework enabling cav youll study computer science mathematics bsc hons process digital revolution way interact world around us changing supersonic speed mathematicians computer scientists forefront cutting edge technology spotting," The key components and objectives of a secure vehicular communication system in mitigating remote vehicle hijacking risks include:  1. Secure vehicular communication system: This involves focusing on physical layer and protocol level security, ensuring that the communication between vehicles and other systems is encrypted and protected from unauthorized access.  2. Network segmentation approach: This strategy separates the vehicular communication network into smaller segments to prevent potential attackers from gaining access to sensitive information or control over multiple vehicles simultaneously.  3. Development of a visible light communication framework: This component aims to create a secure communication channel for connected autonomous vehicles (CAV), utilizing visible light communication technology.  4. Working groups: These teams focus on various aspects related to secure vehicular communication, such as vehicular communication for electric vehicle (EV) charging management, cybersecurity of charging infrastructure, and data analytics for predicting cyber risks.",safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approachnnintegrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection devicennnnprave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni,"The key components and objectives of a secure vehicular communication system to mitigate remote vehicle hijacking risks include developing a secure vehicular communication system that considers physical layer and protocol level security, as well as implementing network segmentation. Additionally, integrating an in-vehicle intrusion detection system using artificial intelligence is crucial for monitoring the vehicle's network for suspicious activity such as unauthorized connections or devices attempting to access control systems.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.6701144576072693
 What is the main objective of the PRAVE Project in developing a proactive security model for protecting cyber-physical systems in the Critical National Infrastructure (CNI)?,0.0122759342193603,1.953408479690552,prave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni smart devices education investigating use tablet computers education developing apps methods integrate use technologies within classroom clinical practice areas growing activity bustling students nottingham home two major universities attracting students city major sporting city youll always close action nottingham two major football clubs trent bridge national ice centre national water sports centre," The main objective of the PRAVE Project is to innovate a new proactive security model for protecting cyber-physical systems in the Critical National Infrastructure (CNI) using a trustworthy artificial intelligent approach. This involves focusing on proactive authentication and verification protocols, incorporating some of the physical aspects from the connected smart things within the CNI.",safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approachnnintegrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection devicennnnprave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni,"The main objective of the PRAVE Project is to innovate a new proactive security model for protecting cyber-physical systems within the Critical National Infrastructure (CNI) using a trustworthy artificial intelligence approach. This involves focusing on proactive authentication and verification protocols, incorporating physical aspects from connected smart devices in the CNI.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.6708396077156067
 What is the purpose of integrating an in-vehicle intrusion detection system that utilizes artificial intelligence to monitor a vehicle's network for suspicious activity?,0.0127203464508056,1.998685836791992,integrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection device unleash power data become expert data science ntu ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science citp partial ceng registration course puts theory practice skills development relevant modern world particular use artificial intelligence ai machine learning cognitive computing increasing number industry sectors offers develop portfolio computer science artificial intelligence bsc hons course puts theory practice skills development relevant modern world particular use artificial intelligence ai machine learning cognitive computing increasing number," The purpose of integrating an in-vehicle intrusion detection system that utilizes artificial intelligence is to monitor a vehicle's network for suspicious activity, such as attempts to connect to the vehicle's control systems from an unauthorized connection or device. This system helps ensure the security and integrity of the vehicle's network, protecting against potential cyber threats and unauthorized access.",safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approachnnintegrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection devicennnnprave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approachnnintegrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection devicennnnprave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni,"The purpose of integrating an in-vehicle intrusion detection system using artificial intelligence is to monitor the vehicle's network for any suspicious activities, such as attempts to connect from unauthorized connections or devices. This helps in mitigating remote vehicle hijacking risks by ensuring the security and integrity of the vehicle's control systems.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}, {'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.5342282056808472
How does AI intrusion detection contribute to preventing unauthorized vehicle control within the Safe Driving System?,0.0115928649902343,2.2071871757507324,integrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection device drive confidence safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approach contribute academic activities mathematics department staff offer advice applying disabled students allowances dsas fund support dsa funded specialist one one study skills support access academic support within ntu eg library study support implement reasonable adjustments recommended evidence," The AI intrusion detection system contributes to preventing unauthorized vehicle control within the Safe Driving System by continuously monitoring the vehicle's network for suspicious activity. It identifies potential threats, such as attempts to connect to the vehicle's control systems from unauthorized connections or devices, and alerts the system to take appropriate action. This proactive approach helps ensure the safety and security of the vehicle and its occupants.",safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approachnnintegrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection devicennnnprave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni,"AI intrusion detection contributes to preventing unauthorized vehicle control within the Safe and Secure Driving System by monitoring the vehicle's network for suspicious activity. This includes detecting attempts to connect from unauthorized devices or connections, which could indicate an attempt at remote hijacking. By identifying such threats early, the system can take appropriate measures to maintain control over the vehicle and ensure safety.",multi_context,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.7166561484336853
 How does computational intelligence play a role in preparing students for real-world scenarios and industrial applications during their BSc (Hons) Data Science program at NTU?,0.0121045112609863,3.405066728591919,data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside parent carer prospective ntu student help prepare university life parentscarers students disabilities learning differences play vital role preparing university life supporting throughout studies support handson experience applying knowledge realworld scenarios focus industrial application computational intelligence practical experience combined technical nature course prepare actively engage industrial commercial business processes well harness power data support human decisionmaking approach goes beyond theory handson experience applying knowledge realworld scenarios focus industrial application computational intelligence practical," During the BSc (Hons) Data Science program at NTU, computational intelligence plays a significant role in preparing students for real-world scenarios and industrial applications. This is achieved through a practical and applied approach to learning, where students gain hands-on experience applying their knowledge in real-world scenarios with a focus on the industrial application of computational intelligence. This practical experience equips students with the skills necessary to actively engage in industrial, commercial, and business processes, as well as to utilize data to support human decision-making. By combining theoretical knowledge with practical experience, the program aims to provide students with a comprehensive understanding of data science principles and their industrial applications.",data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside modules handson way learning develop problem solving creative thinking skills helps build transferable skills teamworking ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science comprehensive program develop strong foundation computer science enabling extract valuable insights data using diverse set statistical algorithmic predictive tools gain ability transform raw data practical actionable information information capable predicting trends driving outcomes ready take challenges presented big data artificial intelligence curriculum empower develop datadriven solutions optimize business processes well harness power data support human decisionmaking approach goes beyond theory handson experience applying knowledge realworld scenarios focus industrial application computational intelligence practical experience combined technical nature course prepare actively engage industrial commercial scientific technological research development intelligent systems find data science isnt support move one computer science courses end foundation year,"Computational intelligence plays a significant role in the BSc (Hons) Data Science program at NTU by providing hands-on experience that allows students to apply their knowledge in real-world scenarios. This practical approach focuses on the industrial application of computational intelligence, preparing students to engage in research and development of intelligent systems across various sectors such as industry, commerce, science, and technology.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}, {'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.7325918674468994
 What are the key foundational subjects in BSc (Hons) Data Science that students focus on during their first-year foundation program?,0.0124437808990478,1.4820246696472168,data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside youll study computer science masters mcomp hons course course combines undergraduate postgraduate content designed cover computer science foundation subjects build foundation postgraduate level material final year acquire offer bsc hons data science foundation year apply dont meet entry criteria course metadata data science foundation year bsc hons text levels study undergraduate typical offer ucas tariff points ucas codes campus clifton campus youll develop practical skills knowledge programming maths engineering get flying start move onto bsc hons cyber security second year completing foundation year metadata data science bsc hons," During their first-year foundation program for BSc (Hons) Data Science, students focus on building blocks such as programming, science, and maths. These subjects prepare them to move onto BSc (Hons) Data Science in their second year.",data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside modules handson way learning develop problem solving creative thinking skills helps build transferable skills teamworking ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science comprehensive program develop strong foundation computer science enabling extract valuable insights data using diverse set statistical algorithmic predictive tools gain ability transform raw data practical actionable information,"During the first-year foundation program for BSc (Hons) Data Science at NTU, students focus on programming, science, and maths. These subjects serve as building blocks to prepare them for more advanced data science topics in their second year.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.6849322319030762
 What is the purpose of incorporating individual and group projects in the foundation year of BSc (Hons) Data Science at NTU?,0.0120027065277099,2.829028367996216,data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside difference mcomp computer science bsc computer science mcomp computer science integrated masters course includes one extra year study completion bsc degree campus clifton campus youll develop practical skills knowledge programming maths engineering get flying start move onto bsc hons cyber security second year completing foundation year metadata data science bsc hons offer bsc hons data science foundation year apply dont meet entry criteria course metadata data science foundation year bsc hons text levels study undergraduate typical offer ucas tariff points ucas codes," The purpose of incorporating individual and group projects in the foundation year of BSc (Hons) Data Science at NTU is to provide students with practical experience in applying the concepts they learn in their courses. These projects help students develop teamwork, problem-solving, and critical thinking skills that are essential in the field of data science. Additionally, these projects give students the opportunity to showcase their abilities and gain hands-on experience working on real or simulated data science problems, which can be valuable when seeking employment or further academic opportunities.",data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside modules handson way learning develop problem solving creative thinking skills helps build transferable skills teamworking ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science comprehensive program develop strong foundation computer science enabling extract valuable insights data using diverse set statistical algorithmic predictive tools gain ability transform raw data practical actionable information,"The purpose of incorporating individual and group projects in the foundation year of BSc (Hons) Data Science at NTU is to provide a hands-on learning experience that develops problem solving, creative thinking skills, and other transferable skills such as teamwork. This approach helps students build a strong foundation in computer science and prepares them for extracting valuable insights from data using statistical, algorithmic, and predictive tools.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.6974233984947205
" What skills and knowledge does NTU's BSc (Hons) Data Science program aim to equip students with in order to become experts in big data, machine learning, and artificial intelligence?",0.0122795104980468,2.4102182388305664,unleash power data become expert data science ntu ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science group projects alongside modules handson way learning develop problem solving creative thinking skills helps build transferable skills teamworking ntu understand big data machine learning artificial intelligence computer science artificial intelligence bsc hons course aimed students interested inspired new ai technologies want work become leader meeting challenges posed ai big data course support students broad range skills artificial intelligence transforming industries thats goal equip skills knowledge become expert data science comprehensive program develop strong foundation computer science enabling extract valuable insights," NTU's BSc (Hons) Data Science program aims to equip students with a strong foundation in computer science, enabling them to extract valuable insights from big data. The program focuses on developing skills in areas such as data analysis, machine learning, artificial intelligence, and programming. Additionally, students will have opportunities to work on group projects to develop their problem-solving and creative thinking skills, as well as building other transferable skills such as teamwork.",data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside modules handson way learning develop problem solving creative thinking skills helps build transferable skills teamworking ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science comprehensive program develop strong foundation computer science enabling extract valuable insights data using diverse set statistical algorithmic predictive tools gain ability transform raw data practical actionable information,"NTU's BSc (Hons) Data Science program aims to equip students with skills and knowledge in computer science, including the ability to extract valuable insits from data using statistical, algorithmic, and predictive tools. This comprehensive approach is designed to transform raw data into practical and actionable information, preparing students to become experts in big data, machine learning, and artificial intelligence.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.7535350322723389
