Question,Answer,Retrieval_Time,Chain_Time
 What are the academic qualifications and foundational requirements for a career in software engineering?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>
CONTEXT: team and can support you to liaise with academic schools, services and outside agencies, and help to coordinate any additional requirements you may have.

What will I study on the Software Engineering BSc? You will learn core skills concerning the production of computer programs and applications, as well as specialist knowledge in areas such as software engineering and analysis and design. All of the courses within the Computer Science cluster share

Do you accept qualifications from other countries? If you would like to discuss your qualifications that were achieved from a country outside of the United Kingdom, please refer to the admissions team who are here to help you at the Open Day. A member of staff will be able to help you find them.

is designed to enable you to develop the knowledge and skills that are necessary for, specifically, a career in the industry sectors undertaking the design of intelligent computer systems and emerging smart technologies and, generally, for a broad range of careers in industrial, commercial and
QUESTION:  What are the academic qualifications and foundational requirements for a career in software engineering?
Helpful Answer: [/INST]
To pursue a career in Software Engineering, typically, you would need a degree in Computer Science or a related field such as Software Engineering, Information Technology, or Mathematics. At Nottingham Trent University, our Software Engineering BSc course is designed to equip you with the necessary knowledge and skills for a career in this field.

However, specific academic qualifications can vary depending on the institution and the country. If you have qualifications from a country outside of the UK, I would recommend speaking with our admissions team during the open day. They will be able to provide guidance based on your individual circumstances.",0.05837678909301758,3.195391893386841
Which BSc (Hons) program merges math/data science & software dev?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>
CONTEXT: Study Computer Science - Games Technology (with foundation year) BSc (Hons) and you will acquire the advanced skills and knowledge needed to design and implement various computer systems. You’ll mainly be software engineering using C++. You will also learn to program using Python, Java and C#,

Within Computer Science (Games Technology) BSc (Hons), You will build a foundation of core computer science and software engineering skills in your first year. We assume no prior knowledge of computer programming and accept students from a wide range of academic backgrounds. We will provide all the

and problem-solving skills. The Mathematics with Data Science BSc (Hons) course shares common modules in your first year you can transfer MMath (Hons) Mathematics, BSc (Hons) Mathematics, or BSc (Hons) Mathematics with Statistics.

About Data Science (with foundation year) BSc (Hons): Programming, science and maths  – the building blocks you’ll focus during your foundation year, preparing you to move onto BSc (Hons) Data Science in your second year. You’ll take part in a series of individual and group projects alongside your
QUESTION: Which BSc (Hons) program merges math/data science & software dev?
Helpful Answer: [/INST]
The BSc (Hons) program that merges Math/Data Science and Software Development is the Data Science (with foundation year) BSc (Hons). This program includes a foundation year where you will focus on programming, science, and maths, preparing you to move onto BSc (Hons) Data Science in your second year. Throughout the program, you will work on individual and group projects that combine both data science and software development skills.",0.01161956787109375,2.407203197479248
 What are the key components and objectives of a secure vehicular communication system in mitigating remote vehicle hijacking risks?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>
CONTEXT: Drive with Confidence

A Safe and Secure Driving System to Mitigate Remote Vehicle Hijacking Risks. The system focuses on:The development of a secure vehicular communication system considering physical layer and protocol level security as well as network segmentation approach.

working groups including vehicular communication for EV charging management, cyber security of charging infrastructure, and data analytics for cyber risk prediction.

will focus on developing a secure visible light communication framework for enabling CAV.

What you’ll study on Computer Science and Mathematics BSc (Hons): We are in the process of a digital revolution. The way we interact with the world around us is changing at supersonic speed, and mathematicians and computer scientists are at the forefront of this cutting edge technology – spotting
QUESTION:  What are the key components and objectives of a secure vehicular communication system in mitigating remote vehicle hijacking risks?
Helpful Answer: [/INST]
The key components and objectives of a secure vehicular communication system in mitigating remote vehicle hijacking risks include:

1. Secure vehicular communication system: This involves focusing on physical layer and protocol level security, ensuring that the communication between vehicles and other systems is encrypted and protected from unauthorized access.

2. Network segmentation approach: This strategy separates the vehicular communication network into smaller segments to prevent potential attackers from gaining access to sensitive information or control over multiple vehicles simultaneously.

3. Development of a visible light communication framework: This component aims to create a secure communication channel for connected autonomous vehicles (CAV), utilizing visible light communication technology.

4. Working groups: These teams focus on various aspects related to secure vehicular communication, such as vehicular communication for electric vehicle (EV) charging management, cybersecurity of charging infrastructure, and data analytics for predicting cyber risks.",0.01346278190612793,4.651132822036743
 What is the main objective of the PRAVE Project in developing a proactive security model for protecting cyber-physical systems in the Critical National Infrastructure (CNI)?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>
CONTEXT: PRAVE Project (PRoactive Authentication and Verification Embedded Model for Critical Cyber-Physical Systems). This Research and Development project will innovate a new proactive security model for protecting cyber-physical systems in the CNI using a trustworthy artificial intelligent approach.

intelligent approach. PRAVE will focus on proactive authentication and verification protocol with the involvement of some of the physical aspects from the connected smart things within the CNI.

Smart devices for education: Investigating the use of tablet computers in education and developing apps and methods to integrate the use of technologies within the classroom, and in clinical practice

Areas of growing activity:

Bustling with students – Nottingham is home to two major universities, attracting over 60,000 students to the city. A major sporting city You’ll always be close to the action in Nottingham with two major football clubs, Trent Bridge, the National Ice Centre and the National Water Sports Centre.
QUESTION:  What is the main objective of the PRAVE Project in developing a proactive security model for protecting cyber-physical systems in the Critical National Infrastructure (CNI)?
Helpful Answer: [/INST]
The main objective of the PRAVE Project is to innovate a new proactive security model for protecting cyber-physical systems in the Critical National Infrastructure (CNI) using a trustworthy artificial intelligent approach. This involves focusing on proactive authentication and verification protocols, incorporating some of the physical aspects from the connected smart things within the CNI.",0.012275934219360352,1.9534084796905518
 What is the purpose of integrating an in-vehicle intrusion detection system that utilizes artificial intelligence to monitor a vehicle's network for suspicious activity?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>
CONTEXT: Integrating an in-vehicle intrusion detection system using artificial intelligence to monitor the vehicle's network for suspicious activity, such as attempts to connect to the vehicle's control systems from an unauthorised connection or device.

Unleash the Power of Data: Become an Expert in Data Science at NTU At NTU, we understand that big data, machine learning, and artificial intelligence are transforming industries. That's why our goal is to equip you with the skills and knowledge to become an expert in data science. Through our

for IT, for both CITP and partial CEng registration. The course puts theory into practice through skills development relevant to the modern world, in particular, the use of artificial intelligence (AI), machine learning and cognitive computing in an increasing number of industry sectors. It offers

Develop your portfolio on the Computer Science - Artificial Intelligence BSc (Hons): The course puts theory into practice through skills development relevant to the modern world, in particular, the use of artificial intelligence (AI), machine learning and cognitive computing in an increasing number
QUESTION:  What is the purpose of integrating an in-vehicle intrusion detection system that utilizes artificial intelligence to monitor a vehicle's network for suspicious activity?
Helpful Answer: [/INST]
The purpose of integrating an in-vehicle intrusion detection system that utilizes artificial intelligence is to monitor a vehicle's network for suspicious activity, such as attempts to connect to the vehicle's control systems from an unauthorized connection or device. This system helps ensure the security and integrity of the vehicle's network, protecting against potential cyber threats and unauthorized access.",0.012720346450805664,1.9986858367919922
How does AI intrusion detection contribute to preventing unauthorized vehicle control within the Safe Driving System?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>
CONTEXT: Integrating an in-vehicle intrusion detection system using artificial intelligence to monitor the vehicle's network for suspicious activity, such as attempts to connect to the vehicle's control systems from an unauthorised connection or device.

Drive with Confidence

A Safe and Secure Driving System to Mitigate Remote Vehicle Hijacking Risks. The system focuses on:The development of a secure vehicular communication system considering physical layer and protocol level security as well as network segmentation approach.

and contribute to the academic activities of the mathematics department.

Staff can offer advice on: Applying for Disabled Students’ Allowances (DSAs) to fund your support, DSA funded Specialist One to One Study Skills Support, How to access academic support within NTU, e.g., Library Study Support, How to implement reasonable adjustments as recommended in your evidence
QUESTION: How does AI intrusion detection contribute to preventing unauthorized vehicle control within the Safe Driving System?
Helpful Answer: [/INST]
The AI intrusion detection system contributes to preventing unauthorized vehicle control within the Safe Driving System by continuously monitoring the vehicle's network for suspicious activity. It identifies potential threats, such as attempts to connect to the vehicle's control systems from unauthorized connections or devices, and alerts the system to take appropriate action. This proactive approach helps ensure the safety and security of the vehicle and its occupants.",0.011592864990234375,2.2071871757507324
 How does computational intelligence play a role in preparing students for real-world scenarios and industrial applications during their BSc (Hons) Data Science program at NTU?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>
CONTEXT: About Data Science (with foundation year) BSc (Hons): Programming, science and maths  – the building blocks you’ll focus during your foundation year, preparing you to move onto BSc (Hons) Data Science in your second year. You’ll take part in a series of individual and group projects alongside your

As a parent or carer of a prospective NTU student, how should I help them prepare for university life? Parents/carers of students with disabilities and learning differences play a vital role in preparing them for university life and supporting them throughout their studies. Support is very

You will have hands-on experience, applying your knowledge in real-world scenarios with a focus on the industrial application of computational intelligence. This practical experience, combined with the technical nature of our course, will prepare you to actively engage in industrial, commercial,

business processes, as well as harness the power of data to support human decision-making. But our approach goes beyond theory. You will have hands-on experience, applying your knowledge in real-world scenarios with a focus on the industrial application of computational intelligence. This practical
QUESTION:  How does computational intelligence play a role in preparing students for real-world scenarios and industrial applications during their BSc (Hons) Data Science program at NTU?
Helpful Answer: [/INST]
During the BSc (Hons) Data Science program at NTU, computational intelligence plays a significant role in preparing students for real-world scenarios and industrial applications. This is achieved through a practical and applied approach to learning, where students gain hands-on experience applying their knowledge in real-world scenarios with a focus on the industrial application of computational intelligence. This practical experience equips students with the skills necessary to actively engage in industrial, commercial, and business processes, as well as to utilize data to support human decision-making. By combining theoretical knowledge with practical experience, the program aims to provide students with a comprehensive understanding of data science principles and their industrial applications.",0.012104511260986328,3.405066728591919
 What are the key foundational subjects in BSc (Hons) Data Science that students focus on during their first-year foundation program?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>
CONTEXT: About Data Science (with foundation year) BSc (Hons): Programming, science and maths  – the building blocks you’ll focus during your foundation year, preparing you to move onto BSc (Hons) Data Science in your second year. You’ll take part in a series of individual and group projects alongside your

What you’ll study on the Computer Science Masters MComp (Hons) course: This course combines undergraduate and postgraduate content and is designed to cover computer science foundation subjects and then build on this foundation with postgraduate level material in the final year. You will acquire the

We offer BSc (Hons) Data Science (with foundation year) which you can apply for if you don't meet the entry criteria for this course.



Metadata: Data Science (with foundation year) BSc (Hons)

Text:

Level(s) of Study: Undergraduate

Typical Offer: 72 UCAS tariff points

UCAS Code(s): I126

Campus: Clifton Campus

You'll develop the practical skills and knowledge in programming, maths and engineering that will get you off to a flying start when you move onto BSc (Hons) Cyber Security in your second year after completing the foundation year. 



Metadata: Data Science BSc (Hons)
QUESTION:  What are the key foundational subjects in BSc (Hons) Data Science that students focus on during their first-year foundation program?
Helpful Answer: [/INST]
During their first-year foundation program for BSc (Hons) Data Science, students focus on building blocks such as programming, science, and maths. These subjects prepare them to move onto BSc (Hons) Data Science in their second year.",0.012443780899047852,1.4820246696472168
 What is the purpose of incorporating individual and group projects in the foundation year of BSc (Hons) Data Science at NTU?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>
CONTEXT: About Data Science (with foundation year) BSc (Hons): Programming, science and maths  – the building blocks you’ll focus during your foundation year, preparing you to move onto BSc (Hons) Data Science in your second year. You’ll take part in a series of individual and group projects alongside your

What is the difference between MComp Computer Science and BSc Computer Science? MComp computer Science is an integrated Master's course. It includes one extra year of study after the completion of the BSc degree.

Campus: Clifton Campus

You'll develop the practical skills and knowledge in programming, maths and engineering that will get you off to a flying start when you move onto BSc (Hons) Cyber Security in your second year after completing the foundation year. 



Metadata: Data Science BSc (Hons)

We offer BSc (Hons) Data Science (with foundation year) which you can apply for if you don't meet the entry criteria for this course.



Metadata: Data Science (with foundation year) BSc (Hons)

Text:

Level(s) of Study: Undergraduate

Typical Offer: 72 UCAS tariff points

UCAS Code(s): I126
QUESTION:  What is the purpose of incorporating individual and group projects in the foundation year of BSc (Hons) Data Science at NTU?
Helpful Answer: [/INST]
The purpose of incorporating individual and group projects in the foundation year of BSc (Hons) Data Science at NTU is to provide students with practical experience in applying the concepts they learn in their courses. These projects help students develop teamwork, problem-solving, and critical thinking skills that are essential in the field of data science. Additionally, these projects give students the opportunity to showcase their abilities and gain hands-on experience working on real or simulated data science problems, which can be valuable when seeking employment or further academic opportunities.",0.012002706527709961,2.829028367996216
" What skills and knowledge does NTU's BSc (Hons) Data Science program aim to equip students with in order to become experts in big data, machine learning, and artificial intelligence?","
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>
CONTEXT: Unleash the Power of Data: Become an Expert in Data Science at NTU At NTU, we understand that big data, machine learning, and artificial intelligence are transforming industries. That's why our goal is to equip you with the skills and knowledge to become an expert in data science. Through our

group projects alongside your modules. It’s a hands-on way of learning that will develop your problem solving and creative thinking skills and helps to build other transferable skills such as team-working. At NTU, we understand that big data, machine learning, and artificial intelligence are

The Computer Science - Artificial Intelligence BSc (Hons) course is aimed at students who are interested and inspired by the new AI technologies and want to work to become a leader in meeting the challenges posed by AI and big data.  This course will support students with a broad range of skills

artificial intelligence are transforming industries. That's why our goal is to equip you with the skills and knowledge to become an expert in data science. Through our comprehensive program, you will develop a strong foundation in computer science, enabling you to extract valuable insights from
QUESTION:  What skills and knowledge does NTU's BSc (Hons) Data Science program aim to equip students with in order to become experts in big data, machine learning, and artificial intelligence?
Helpful Answer: [/INST]
NTU's BSc (Hons) Data Science program aims to equip students with a strong foundation in computer science, enabling them to extract valuable insights from big data. The program focuses on developing skills in areas such as data analysis, machine learning, artificial intelligence, and programming. Additionally, students will have opportunities to work on group projects to develop their problem-solving and creative thinking skills, as well as building other transferable skills such as teamwork.",0.012279510498046875,2.4102182388305664
