question,Retrieval_Time,Chain_Time,Vanilla_contexts,answer,RAGAS_Contexts,ground_truth,evolution_type,metadata,episode_done,contexts_bertscore_similarity
 What are the academic qualifications and foundational requirements for a career in software engineering?,0.0121586322784423,5.6609063148498535,foundation year bsc hons software engineering bsc hons software engineering foundation year bsc hons foundation year bsc hons software engineering bsc hons software engineering foundation year bsc hons foundation year bsc hons software engineering bsc hons software engineering foundation year bsc hons uk shortage next ten years software engineering degree seeks meet need producing graduates precise combination skills required design develop robust efficient highquality software," To pursue a career in Software Engineering, typically, you would require a bachelor's degree in Computer Science, Information Technology, or a related field such as Software Engineering. At Nottingham Trent University (NTU), we offer a BSc (Hons) in Software Engineering, which includes both standard and foundation year options.  The foundation year is designed for students who don't have the necessary qualifications to start directly on a three-year undergraduate course. It provides a pathway into the full degree program, covering essential topics like mathematics, physics, and computer studies.  In terms of specific entry requirements, for the standard Software Engineering course, you usually need two subjects from Mathematics, Physics, Chemistry, Biology, Computing, IT, or a related subject at A-Level or equivalent. For the foundation year, you would typically need five GCSEs including English and Maths at grade C or above, along with other relevant qualifications.  It's always best to check the most current information on our website or contact our admissions team for detailed guidance.",bsc hons mathematics data science bsc hons mathematics data science foundation year bsc hons software engineering bsc hons software engineering foundation year bsc hons,"The academic qualifications required for a career in software engineering include a Bachelor of Science (Honours) in Software Engineering, which can be obtained with or without completing a foundation year. Additionally, having a background in Mathematics and Data Science could also be beneficial due to their relevance in the field.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.7829054594039917
Which BSc (Hons) program merges math/data science & software dev?,0.0071399211883544,4.213595151901245,problemsolving skills mathematics data science bsc hons course shares common modules first year transfer mmath hons mathematics bsc hons mathematics bsc hons mathematics statistics problemsolving skills mathematics data science bsc hons course shares common modules first year transfer mmath hons mathematics bsc hons mathematics bsc hons mathematics statistics problemsolving skills mathematics data science bsc hons course shares common modules first year transfer mmath hons mathematics bsc hons mathematics bsc hons mathematics statistics data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside," The BSc (Hons) Data Science program at Nottingham Trent University (NTU) offers a combination of mathematics/data science and software development. However, if you're specifically looking for a program that merges these subjects from the start, the Mathematics with Data Science BSc (Hons) course might be more suitable as it includes programming and data analysis from the first year. But please note that the Mathematics with Data Science BSc (Hons) course shares common modules in the first year, and you can potentially transfer to other mathematics-related programs such as MMath (Hons) Mathematics, BSc (Hons) Mathematics, or BSc (Hons) Mathematics with Statistics. For more detailed information, I would recommend visiting our website or speaking with an academic advisor.",bsc hons mathematics data science bsc hons mathematics data science foundation year bsc hons software engineering bsc hons software engineering foundation year bsc hons,"The BSc (Hons) in Mathematics with Data Science and the BSc (Hons) in Software Engineering are both programs that merge mathematics, data science, and software development.",reasoning,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.67158442735672
 What are the key components and objectives of a secure vehicular communication system in mitigating remote vehicle hijacking risks?,0.0072011947631835,4.658473253250122,drive confidence safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approach drive confidence safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approach drive confidence safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approach integrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection device," The key components and objectives of a secure vehicular communication system in mitigating remote vehicle hijacking risks include:  1. Physical Layer Security: This involves securing the hardware and wiring of the vehicle's communication system to prevent unauthorized access.  2. Protocol Level Security: This involves securing the software and data being transmitted between devices in the vehicle's communication system.  3. Network Segmentation Approach: This involves dividing the vehicle's communication network into separate, isolated sections to limit the spread of potential threats.  4. Intrusion Detection System: This uses artificial intelligence to monitor the vehicle's network for suspicious activity, such as attempts to connect to the vehicle's control systems from unauthorized connections or devices.  The overall objective is to create a secure environment for the vehicle's communication system to prevent remote hijacking and ensure safe driving.",safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approachnnintegrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection devicennnnprave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni,"The key components and objectives of a secure vehicular communication system to mitigate remote vehicle hijacking risks include developing a secure vehicular communication system that considers physical layer and protocol level security, as well as implementing network segmentation. Additionally, integrating an in-vehicle intrusion detection system using artificial intelligence is crucial for monitoring the vehicle's network for suspicious activity such as unauthorized connections or devices attempting to access control systems.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.7234172224998474
 What is the main objective of the PRAVE Project in developing a proactive security model for protecting cyber-physical systems in the Critical National Infrastructure (CNI)?,0.0070953369140625,1.9026732444763184,prave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni, The main objective of the PRAVE Project is to develop a proactive security model that protects cyber-physical systems within the Critical National Infrastructure (CNI) using a trustworthy artificial intelligent approach. This involves creating a proactive authentication and verification protocol that incorporates some of the physical aspects from the connected smart things within the CNI.,safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approachnnintegrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection devicennnnprave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni,"The main objective of the PRAVE Project is to innovate a new proactive security model for protecting cyber-physical systems within the Critical National Infrastructure (CNI) using a trustworthy artificial intelligence approach. This involves focusing on proactive authentication and verification protocols, incorporating physical aspects from connected smart devices in the CNI.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.7357027530670166
 What is the purpose of integrating an in-vehicle intrusion detection system that utilizes artificial intelligence to monitor a vehicle's network for suspicious activity?,0.0067193508148193,2.740224599838257,integrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection device integrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection device integrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection device drive confidence safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approach," The purpose of integrating an in-vehicle intrusion detection system that utilizes artificial intelligence to monitor a vehicle's network is to enhance vehicle security by detecting and preventing unauthorized access to the vehicle's control systems. This system helps mitigate remote vehicle hijacking risks by monitoring the vehicle's network for suspicious activities such as attempts to connect from unauthorized devices or connections. It does so by employing AI algorithms to analyze network traffic patterns and identify potential threats, allowing for proactive security measures against cyberattacks.",safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approachnnintegrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection devicennnnprave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approachnnintegrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection devicennnnprave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni,"The purpose of integrating an in-vehicle intrusion detection system using artificial intelligence is to monitor the vehicle's network for any suspicious activities, such as attempts to connect from unauthorized connections or devices. This helps in mitigating remote vehicle hijacking risks by ensuring the security and integrity of the vehicle's control systems.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}, {'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.7252662181854248
How does AI intrusion detection contribute to preventing unauthorized vehicle control within the Safe Driving System?,0.0069341659545898,2.6614999771118164,integrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection device integrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection device integrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection device drive confidence safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approach," AI intrusion detection contributes to preventing unauthorized vehicle control within the Safe Driving System by continuously monitoring the vehicle's network for suspicious activities. It identifies patterns and anomalies that may indicate unauthorized attempts to access or manipulate the vehicle's control systems. By quickly detecting these potential threats, the system can take appropriate action to mitigate the risk of remote vehicle hijacking. This includes alerting the driver, isolating affected components, or even disabling the vehicle until the issue is resolved.",safe secure driving system mitigate remote vehicle hijacking risks system focuses onthe development secure vehicular communication system considering physical layer protocol level security well network segmentation approachnnintegrating invehicle intrusion detection system using artificial intelligence monitor vehicles network suspicious activity attempts connect vehicles control systems unauthorised connection devicennnnprave project proactive authentication verification embedded model critical cyberphysical systems research development project innovate new proactive security model protecting cyberphysical systems cni using trustworthy artificial intelligent approach prave focus proactive authentication verification protocol involvement physical aspects connected smart things within cni,"AI intrusion detection contributes to preventing unauthorized vehicle control within the Safe and Secure Driving System by monitoring the vehicle's network for suspicious activity. This includes detecting attempts to connect from unauthorized devices or connections, which could indicate an attempt at remote hijacking. By identifying such threats early, the system can take appropriate measures to maintain control over the vehicle and ensure safety.",multi_context,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.7563458681106567
 How does computational intelligence play a role in preparing students for real-world scenarios and industrial applications during their BSc (Hons) Data Science program at NTU?,0.0067720413208007,3.151144504547119,handson experience applying knowledge realworld scenarios focus industrial application computational intelligence practical experience combined technical nature course prepare actively engage industrial commercial handson experience applying knowledge realworld scenarios focus industrial application computational intelligence practical experience combined technical nature course prepare actively engage industrial commercial handson experience applying knowledge realworld scenarios focus industrial application computational intelligence practical experience combined technical nature course prepare actively engage industrial commercial computer science artificial intelligence bsc hons course aimed students interested inspired new ai technologies want work become leader meeting challenges posed ai big data course support students broad range skills," During the BSc (Hons) Data Science program at NTU, computational intelligence plays a significant role in preparing students for real-world scenarios and industrial applications. The practical experience gained through the course focuses on the industrial application of computational intelligence, allowing students to apply their knowledge in real-life situations. This hands-on approach equips them with the necessary skills to actively engage in industrial and commercial settings. Additionally, the technical nature of the course ensures that students graduate with a strong foundation in computational intelligence, making them well-prepared for the challenges posed by AI and big data in the industry.",data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside modules handson way learning develop problem solving creative thinking skills helps build transferable skills teamworking ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science comprehensive program develop strong foundation computer science enabling extract valuable insights data using diverse set statistical algorithmic predictive tools gain ability transform raw data practical actionable information information capable predicting trends driving outcomes ready take challenges presented big data artificial intelligence curriculum empower develop datadriven solutions optimize business processes well harness power data support human decisionmaking approach goes beyond theory handson experience applying knowledge realworld scenarios focus industrial application computational intelligence practical experience combined technical nature course prepare actively engage industrial commercial scientific technological research development intelligent systems find data science isnt support move one computer science courses end foundation year,"Computational intelligence plays a significant role in the BSc (Hons) Data Science program at NTU by providing hands-on experience that allows students to apply their knowledge in real-world scenarios. This practical approach focuses on the industrial application of computational intelligence, preparing students to engage in research and development of intelligent systems across various sectors such as industry, commerce, science, and technology.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}, {'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.6396971940994263
 What are the key foundational subjects in BSc (Hons) Data Science that students focus on during their first-year foundation program?,0.0069160461425781,2.0862598419189453,data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside mathematics data science bsc hons study core strands linear algebra probability statistics discrete mathematics artificial intelligence database engineering foundations provide robust understanding mathematics essential handling," The key foundational subjects in BSc (Hons) Data Science during the first-year foundation program at Nottingham Trent University (NTU) include programming, science, and maths. This focuses on building blocks that prepare students to move onto BSc (Hons) Data Science in their second year. Students will participate in a series of individual and group projects alongside these subjects.",data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside modules handson way learning develop problem solving creative thinking skills helps build transferable skills teamworking ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science comprehensive program develop strong foundation computer science enabling extract valuable insights data using diverse set statistical algorithmic predictive tools gain ability transform raw data practical actionable information,"During the first-year foundation program for BSc (Hons) Data Science at NTU, students focus on programming, science, and maths. These subjects serve as building blocks to prepare them for more advanced data science topics in their second year.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.6752020716667175
 What is the purpose of incorporating individual and group projects in the foundation year of BSc (Hons) Data Science at NTU?,0.00701904296875,2.732775449752808,technology allowing flexibility review pathway youve started studying access ultramodern facilities equipment software student work groundbreaking innovative consistently attracts industry attention technology allowing flexibility review pathway youve started studying access ultramodern facilities equipment software student work groundbreaking innovative consistently attracts industry attention technology allowing flexibility review pathway youve started studying access ultramodern facilities equipment software student work groundbreaking innovative consistently attracts industry attention final year contain quite lot academic writing good opportunity get back universitystyle work," The purpose of incorporating individual and group projects in the Foundation Year of BSc (Hons) Data Science at NTU is to provide students with practical, hands-on experience in applying data science concepts and techniques to real-world problems. This allows students to develop their problem-solving skills, teamwork abilities, and communication skills, as well as gain exposure to industry-standard tools and technologies. Additionally, these projects serve as a bridge between theoretical learning and professional practice, helping students transition smoothly into their subsequent years of study.",data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside modules handson way learning develop problem solving creative thinking skills helps build transferable skills teamworking ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science comprehensive program develop strong foundation computer science enabling extract valuable insights data using diverse set statistical algorithmic predictive tools gain ability transform raw data practical actionable information,"The purpose of incorporating individual and group projects in the foundation year of BSc (Hons) Data Science at NTU is to provide a hands-on learning experience that develops problem solving, creative thinking skills, and other transferable skills such as teamwork. This approach helps students build a strong foundation in computer science and prepares them for extracting valuable insights from data using statistical, algorithmic, and predictive tools.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.4335835576057434
" What skills and knowledge does NTU's BSc (Hons) Data Science program aim to equip students with in order to become experts in big data, machine learning, and artificial intelligence?",0.0068786144256591,3.7884440422058105,unleash power data become expert data science ntu ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science unleash power data become expert data science ntu ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science unleash power data become expert data science ntu ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science computer science artificial intelligence bsc hons course aimed students interested inspired new ai technologies want work become leader meeting challenges posed ai big data course support students broad range skills," The BSc (Hons) Data Science program at NTU aims to equip students with a broad range of skills including:  1. Understanding of big data, machine learning, and artificial intelligence concepts and their applications in various industries. 2. Proficiency in programming languages such as Python, R, or Java for data analysis and manipulation. 3. Knowledge of statistical methods and algorithms used in data science. 4. Familiarity with database systems and data management techniques. 5. Ability to design, implement, and evaluate predictive models. 6. Understanding of ethical considerations in data science and AI. 7. Skills in communication and teamwork to collaborate effectively on data-driven projects.",data science foundation year bsc hons programming science maths building blocks youll focus foundation year preparing move onto bsc hons data science second year youll take part series individual group projects alongside modules handson way learning develop problem solving creative thinking skills helps build transferable skills teamworking ntu understand big data machine learning artificial intelligence transforming industries thats goal equip skills knowledge become expert data science comprehensive program develop strong foundation computer science enabling extract valuable insights data using diverse set statistical algorithmic predictive tools gain ability transform raw data practical actionable information,"NTU's BSc (Hons) Data Science program aims to equip students with skills and knowledge in computer science, including the ability to extract valuable insits from data using statistical, algorithmic, and predictive tools. This comprehensive approach is designed to transform raw data into practical and actionable information, preparing students to become experts in big data, machine learning, and artificial intelligence.",simple,"[{'source': 'CS_OpenDay_General.docx', 'filename': 'CS_OpenDay_General.docx'}]",True,0.6245240569114685
