Question,Time_Taken,answer,total_tokens,tokens_per_second
 How did the overall quality of each Unit of Assessment at NTU improve in the Research Excellence Framework (REF) 2021 compared to the previous REF in 2014?,2.4257798194885254," The improvement in the overall quality of each Unit of Assessment at NTU in the Research Excellence Framework (REF) 2021 compared to the previous REF in 2014 has not been specified in the provided context. For accurate information regarding the REF results, I would recommend visiting the official NTU website or contacting the university's research office directly.",63,25.97102980817258
 How does the growth of the digital economy impact the importance and relevance of computer science in modern life?,4.813109874725342," The growth of the digital economy significantly increases the importance and relevance of computer science in modern life. As more businesses move online and technology continues to advance, there is an increasing demand for individuals with strong computer science skills. This is because computer science plays a crucial role in developing and maintaining the software, systems, and networks that underpin the digital economy.  In addition, the digital economy has created new opportunities for computer science graduates across various industries, such as retail, healthcare, finance, and entertainment. For example, e-commerce platforms require web developers to create user-friendly interfaces, while gaming companies need programmers to develop engaging games. Furthermore, the rise of artificial intelligence and machine learning means that there is a growing need for computer scientists to help businesses analyze data and make informed decisions.  Overall, the growth of the digital economy highlights the essential role of computer science in modern society and underscores the value of a degree in computer science for those seeking to pursue a successful career in this field.",191,39.68328273638244
 What are some characteristics of the undergraduate courses offered by the Department of Computer Science at NTU?,3.8669276237487793," The undergraduate courses offered by the Department of Computer Science at NTU include a variety of programs such as MSc in Cloud and Enterprise Computing, MSc in Computer Science, MComp (Hons) in Computer Science, BSc (Hons) in Computer Science, BSc (Hons) in Computer Science (Games Technology), BSc (Hons) in Computer Science (with foundation year), BSc (Hons) in Computer Science - Artificial Intelligence, and BSc (Hons) in Computer Science - Artificial Intelligence (with foundation year). These courses are designed to equip students with the skills and experience that employers are looking for in the rapidly growing digital economy. They focus on emerging technologies and collaborative research to ensure students are well-prepared for their future careers.",142,36.721659626600044
 What are some examples of external businesses and organisations that our department has industrial placement partnerships with?,1.1592633724212646," Some examples of external businesses and organisations that our department has industrial placement partnerships with include Microsoft, GlaxoSmithKline, IBM, Schlumberger, HP, Santander, and Refinitiv.",31,26.741119177476186
 What are some examples of industrial placement partners that contribute to the strength and relevance of our teaching and research?,6.495389223098755," Some examples of industrial placement partners that contribute to the strength and relevance of teaching and research at Nottingham Trent University (NTU) include:  1. Rolls-Royce - NTU has a longstanding partnership with Rolls-Royce, providing opportunities for students to gain valuable industry experience through placements and projects. 2. Bombardier - NTU collaborates with Bombardier on various engineering projects, offering students the chance to work on real-world challenges faced by the aerospace industry. 3. JCB - Students studying Mechanical Engineering can undertake industrial placements at JCB, gaining practical experience in design, manufacturing, and testing. 4. BBC - Media Production students have the opportunity to complete placements at the BBC, working on live broadcasts and productions. 5. Nottingham Forest Football Club - Sports Science students can benefit from placements at Nottingham Forest FC, gaining insights into sports performance analysis, coaching, and sports psychology. 6. The National Videogame Arcade - Game Design students can take advantage of placements at the National Videogame Arcade, learning about game development, design, and marketing. 7. Nottingham City Hospital - Healthcare Science students can undertake placements at Nottingham City Hospital, gaining hands-on experience in clinical settings.",217,33.408313581626416
 What are some of the career opportunities available for graduates with a degree in computer science from NTU?,2.925138235092163," Some of the career opportunities available for graduates with a degree in Computer Science from NTU include Business Analyst, Programmer, Project Software Implementation Officer, Web Developer, Games Tester, Graduate Game Development and Programmer, Software Engineer, Cyber Security Analyst, Product Consultant, and Explore Computer Science. Recent graduates have also secured roles at companies such as Next Retail Ltd, Boots UK, Cisco Systems, Schlumberger, Experian, BT, Rockstar Games, Worldwide Clinical Trials UK Ltd, American Express, and the UK Government.",97,33.16082598638071
 What are some of the diverse job roles that recent graduates from our Computer Science program have secured at various companies?,1.4368741512298584," Some of the diverse job roles that recent graduates from our Computer Science program have secured at various companies include Business Analyst, Programmer, Project Software Implementation Officer, Web Developer, Games Tester, Graduate Game Development and Programmer, and Software Engineer.",46,32.013938006071996
 What are some of the facilities and areas of study supported by NTU's Interdisciplinary Science and Technology Centre (ISTeC)?,2.279683351516724," The Interdisciplinary Science and Technology Centre (ISTeC) at NTU supports research and majors in various fields including Computer Science, Bioscience, Chemistry, and Sport Science. Some of the facilities available in ISTeC include those for computer science such as high-performance computing resources, virtual reality labs, and software development environments. Additionally, there are also facilities for bioscience, chemistry, and sport science.",72,31.583333690662258
 What are some of the facilities and resources available at the Computer Science Department at NTU?,1.793407917022705," At the Computer Science Department at NTU, you will have access to state-of-the-art facilities such as those found in our ISTeC building. This includes outstanding lab facilities designed to support your learning experience. Additionally, we offer a virtual tour of our University, allowing you to explore our campus from the comfort of your own home.",61,34.01345528867079
 What are some of the job roles that recent graduates from a BSc (Hons) Computer Science program at NTU have secured?,1.8764441013336184," Some of the job roles that recent graduates from a BSc (Hons) Computer Science program at NTU have secured include Business Analyst, Programmer, Project Software Implementation Officer, Web Developer, Games Tester, Graduate Game Development and Programmer, Software Engineer, Cyber Security Analyst, Product Consultant, and Explore Computer Science.",59,31.442450088477333
